framework                        , test                                                         , time    
Alien Signals                    , createSignals                                                , 2.71    
Alien Signals                    , createComputations                                           , 45.59   
Alien Signals                    , updateSignals                                                , 298.66  
Alien Signals                    , avoidablePropagation                                         , 46.90   
Alien Signals                    , broadPropagation                                             , 94.44   
Alien Signals                    , deepPropagation                                              , 31.85   
Alien Signals                    , diamond                                                      , 59.40   
Alien Signals                    , mux                                                          , 60.87   
Alien Signals                    , repeatedObservers                                            , 18.45   
Alien Signals                    , triangle                                                     , 21.39   
Alien Signals                    , unstable                                                     , 19.85   
Alien Signals                    , molBench                                                     , 9.31    
Alien Signals                    , cellx1000                                                    , 4.62    
Alien Signals                    , cellx2500                                                    , 14.27   
Alien Signals                    , 2-10x5 - lazy80%                                             , 163.43  
Alien Signals                    , 6-10x10 - dyn25% - lazy80%                                   , 106.22  
Alien Signals                    , 4-1000x12 - dyn5%                                            , 300.88  
Alien Signals                    , 25-1000x5                                                    , 392.34  
Alien Signals                    , 3-5x500                                                      , 74.50   
Alien Signals                    , 6-100x15 - dyn50%                                            , 169.64  
Dalien Signals                   , createSignals                                                , 5.22    
Dalien Signals                   , createComputations                                           , 43.38   
Dalien Signals                   , updateSignals                                                , 204.80  
Dalien Signals                   , avoidablePropagation                                         , 44.96   
Dalien Signals                   , broadPropagation                                             , 76.17   
Dalien Signals                   , deepPropagation                                              , 31.44   
Dalien Signals                   , diamond                                                      , 48.42   
Dalien Signals                   , mux                                                          , 44.12   
Dalien Signals                   , repeatedObservers                                            , 7.83    
Dalien Signals                   , triangle                                                     , 17.36   
Dalien Signals                   , unstable                                                     , 22.40   
Dalien Signals                   , molBench                                                     , 9.19    
Dalien Signals                   , cellx1000                                                    , 4.12    
Dalien Signals                   , cellx2500                                                    , 11.02   
Dalien Signals                   , 2-10x5 - lazy80%                                             , 143.70  
Dalien Signals                   , 6-10x10 - dyn25% - lazy80%                                   , 91.55   
Dalien Signals                   , 4-1000x12 - dyn5%                                            , 265.06  
Dalien Signals                   , 25-1000x5                                                    , 267.08  
Dalien Signals                   , 3-5x500                                                      , 63.76   
Dalien Signals                   , 6-100x15 - dyn50%                                            , 155.31  
Angular Signals                  , createSignals                                                , 7.44    
Angular Signals                  , createComputations                                           , 188.97  
Angular Signals                  , updateSignals                                                , 528.25  
Angular Signals                  , avoidablePropagation                                         , 86.48   
Angular Signals                  , broadPropagation                                             , 159.91  
Angular Signals                  , deepPropagation                                              , 50.75   
Angular Signals                  , diamond                                                      , 88.89   
Angular Signals                  , mux                                                          , 113.35  
Angular Signals                  , repeatedObservers                                            , 15.88   
Angular Signals                  , triangle                                                     , 32.29   
Angular Signals                  , unstable                                                     , 34.07   
