framework                        , test                                                         , time    
Alien Signals                    , createSignals                                                , 3.03    
Alien Signals                    , createComputations                                           , 69.46   
Alien Signals                    , updateSignals                                                , 267.37  
Alien Signals                    , avoidablePropagation                                         , 118.32  
Alien Signals                    , broadPropagation                                             , 129.74  
Alien Signals                    , deepPropagation                                              , 70.72   
Alien Signals                    , diamond                                                      , 185.19  
Alien Signals                    , mux                                                          , 199.70  
Alien Signals                    , repeatedObservers                                            , 43.03   
Alien Signals                    , triangle                                                     , 56.87   
Alien Signals                    , unstable                                                     , 44.21   
Alien Signals                    , molBench                                                     , 29.67   
Alien Signals                    , cellx1000                                                    , 9.59    
Alien Signals                    , cellx2500                                                    , 25.53   
Alien Signals                    , 2-10x5 - lazy80%                                             , 261.65  
Alien Signals                    , 6-10x10 - dyn25% - lazy80%                                   , 280.04  
Alien Signals                    , 4-1000x12 - dyn5%                                            , 805.15  
Alien Signals                    , 25-1000x5                                                    , 734.86  
Alien Signals                    , 3-5x500                                                      , 146.82  
Alien Signals                    , 6-100x15 - dyn50%                                            , 350.18  
Dalien Signals                   , createSignals                                                , 9.35    
Dalien Signals                   , createComputations                                           , 102.84  
Dalien Signals                   , updateSignals                                                , 242.10  
Dalien Signals                   , avoidablePropagation                                         , 106.78  
Dalien Signals                   , broadPropagation                                             , 88.07   
Dalien Signals                   , deepPropagation                                              , 39.09   
Dalien Signals                   , diamond                                                      , 90.70   
Dalien Signals                   , mux                                                          , 74.19   
Dalien Signals                   , repeatedObservers                                            , 16.18   
Dalien Signals                   , triangle                                                     , 31.34   
Dalien Signals                   , unstable                                                     , 18.48   
Dalien Signals                   , molBench                                                     , 16.43   
Dalien Signals                   , cellx1000                                                    , 5.49    
Dalien Signals                   , cellx2500                                                    , 15.36   
Dalien Signals                   , 2-10x5 - lazy80%                                             , 273.85  
Dalien Signals                   , 6-10x10 - dyn25% - lazy80%                                   , 198.82  
Dalien Signals                   , 4-1000x12 - dyn5%                                            , 648.32  
Dalien Signals                   , 25-1000x5                                                    , 665.94  
Dalien Signals                   , 3-5x500                                                      , 160.75  
Dalien Signals                   , 6-100x15 - dyn50%                                            , 394.79  
Angular Signals                  , createSignals                                                , 17.37   
Angular Signals                  , createComputations                                           , 903.37  
Angular Signals                  , updateSignals                                                , 532.58  
Angular Signals                  , avoidablePropagation                                         , 169.90  
Angular Signals                  , broadPropagation                                             , 414.37  
Angular Signals                  , deepPropagation                                              , 143.45  
Angular Signals                  , diamond                                                      , 277.53  
Angular Signals                  , mux                                                          , 302.21  
Angular Signals                  , repeatedObservers                                            , 44.10   
Angular Signals                  , triangle                                                     , 67.74   
Angular Signals                  , unstable                                                     , 43.02   
Angular Signals                  , molBench                                                     , 13.75   
Angular Signals                  , cellx1000                                                    , 11.58   
Angular Signals                  , cellx2500                                                    , 56.74   
Angular Signals                  , 2-10x5 - lazy80%                                             , 357.66  
Angular Signals                  , 6-10x10 - dyn25% - lazy80%                                   , 245.99  
Angular Signals                  , 4-1000x12 - dyn5%                                            , 1084.18 
Angular Signals                  , 25-1000x5                                                    , 815.84  
Angular Signals                  , 3-5x500                                                      , 327.56  
Angular Signals                  , 6-100x15 - dyn50%                                            , 676.52  
Compostate                       , createSignals                                                , 7.38    
Compostate                       , createComputations                                           , 304.40  
Compostate                       , updateSignals                                                , 2029.23 
Compostate                       , avoidablePropagation                                         , 171.99  
Compostate                       , broadPropagation                                             , 686.59  
Compostate                       , deepPropagation                                              , 424.78  
Compostate                       , diamond                                                      , 700.14  
Compostate                       , mux                                                          , 165.90  
Compostate                       , repeatedObservers                                            , 49.33   
Compostate                       , triangle                                                     , 122.05  
Compostate                       , unstable                                                     , 69.46   
Compostate                       , molBench                                                     , 24.55   
Compostate                       , cellx1000                                                    , 26.88   
Compostate                       , cellx2500                                                    , 83.46   
Compostate                       , 2-10x5 - lazy80%                                             , 2288.67 
Compostate                       , 6-10x10 - dyn25% - lazy80%                                   , 843.61  
Compostate                       , 4-1000x12 - dyn5%                                            , 1961.91 
Compostate                       , 25-1000x5                                                    , 3893.23 
