framework              , test                                                         , time    
alien-signals          , avoidablePropagation                                         , 163.58  
alien-signals          , broadPropagation                                             , 103.79  
alien-signals          , deepPropagation                                              , 45.68   
alien-signals          , diamond                                                      , 139.65  
alien-signals          , mux                                                          , 118.72  
alien-signals          , repeatedObservers                                            , 19.23   
alien-signals          , triangle                                                     , 42.28   
alien-signals          , unstable                                                     , 16.43   
alien-signals          , molBench                                                     , 270.73  
alien-signals          , createDataSignals                                            , 3.13    
alien-signals          , createComputations0to1                                       , 1.89    
alien-signals          , createComputations1to1                                       , 3.06    
alien-signals          , createComputations2to1                                       , 2.71    
alien-signals          , createComputations4to1                                       , 3.36    
alien-signals          , createComputations1000to1                                    , 3.09    
alien-signals          , createComputations1to2                                       , 2.41    
alien-signals          , createComputations1to4                                       , 2.22    
alien-signals          , createComputations1to8                                       , 1.48    
alien-signals          , createComputations1to1000                                    , 2.16    
alien-signals          , updateComputations1to1                                       , 2.68    
alien-signals          , updateComputations2to1                                       , 1.84    
alien-signals          , updateComputations4to1                                       , 1.44    
alien-signals          , updateComputations1000to1                                    , 1.11    
alien-signals          , updateComputations1to2                                       , 2.22    
alien-signals          , updateComputations1to4                                       , 1.54    
alien-signals          , updateComputations1to1000                                    , 1.07    
alien-signals          , 10x5 - 2 sources - read 20% (simple component)               , 93.84   
alien-signals          , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 98.61   
alien-signals          , 1000x12 - 4 sources - dynamic (large web app)                , 179.60  
alien-signals          , 1000x5 - 25 sources (wide dense)                             , 310.39  
alien-signals          , 5x500 - 3 sources (deep)                                     , 88.97   
alien-signals-v3       , avoidablePropagation                                         , 177.68  
alien-signals-v3       , broadPropagation                                             , 127.65  
alien-signals-v3       , deepPropagation                                              , 54.40   
alien-signals-v3       , diamond                                                      , 139.68  
alien-signals-v3       , mux                                                          , 137.55  
alien-signals-v3       , repeatedObservers                                            , 21.65   
alien-signals-v3       , triangle                                                     , 44.53   
alien-signals-v3       , unstable                                                     , 24.13   
alien-signals-v3       , molBench                                                     , 269.06  
alien-signals-v3       , createDataSignals                                            , 3.21    
alien-signals-v3       , createComputations0to1                                       , 3.27    
alien-signals-v3       , createComputations1to1                                       , 5.11    
alien-signals-v3       , createComputations2to1                                       , 4.50    
alien-signals-v3       , createComputations4to1                                       , 3.56    
alien-signals-v3       , createComputations1000to1                                    , 2.03    
alien-signals-v3       , createComputations1to2                                       , 4.82    
alien-signals-v3       , createComputations1to4                                       , 4.50    
alien-signals-v3       , createComputations1to8                                       , 3.47    
alien-signals-v3       , createComputations1to1000                                    , 3.67    
alien-signals-v3       , updateComputations1to1                                       , 3.59    
alien-signals-v3       , updateComputations2to1                                       , 2.88    
alien-signals-v3       , updateComputations4to1                                       , 2.34    
alien-signals-v3       , updateComputations1000to1                                    , 1.24    
alien-signals-v3       , updateComputations1to2                                       , 2.45    
alien-signals-v3       , updateComputations1to4                                       , 1.79    
alien-signals-v3       , updateComputations1to1000                                    , 1.51    
alien-signals-v3       , 10x5 - 2 sources - read 20% (simple component)               , 115.60  
alien-signals-v3       , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 117.77  
alien-signals-v3       , 1000x12 - 4 sources - dynamic (large web app)                , 205.96  
alien-signals-v3       , 1000x5 - 25 sources (wide dense)                             , 356.38  
alien-signals-v3       , 5x500 - 3 sources (deep)                                     , 91.19   
dalien-signals         , avoidablePropagation                                         , 199.58  
dalien-signals         , broadPropagation                                             , 157.52  
dalien-signals         , deepPropagation                                              , 62.37   
dalien-signals         , diamond                                                      , 155.87  
dalien-signals         , mux                                                          , 135.46  
dalien-signals         , repeatedObservers                                            , 24.45   
dalien-signals         , triangle                                                     , 52.79   
dalien-signals         , unstable                                                     , 32.75   
dalien-signals         , molBench                                                     , 302.82  
dalien-signals         , createDataSignals                                            , 16.59   
dalien-signals         , createComputations0to1                                       , 14.25   
dalien-signals         , createComputations1to1                                       , 21.49   
dalien-signals         , createComputations2to1                                       , 33.93   
dalien-signals         , createComputations4to1                                       , 27.20   
dalien-signals         , createComputations1000to1                                    , 31.40   
dalien-signals         , createComputations1to2                                       , 36.72   
dalien-signals         , createComputations1to4                                       , 37.74   
dalien-signals         , createComputations1to8                                       , 49.40   
dalien-signals         , createComputations1to1000                                    , 36.64   
dalien-signals         , updateComputations1to1                                       , 35.32   
dalien-signals         , updateComputations2to1                                       , 36.98   
dalien-signals         , updateComputations4to1                                       , 36.71   
dalien-signals         , updateComputations1000to1                                    , 34.57   
dalien-signals         , updateComputations1to2                                       , 35.75   
dalien-signals         , updateComputations1to4                                       , 35.35   
dalien-signals         , updateComputations1to1000                                    , 35.63   
dalien-signals         , 10x5 - 2 sources - read 20% (simple component)               , 153.58  
dalien-signals         , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 146.30  
dalien-signals         , 1000x12 - 4 sources - dynamic (large web app)                , 236.26  
dalien-signals         , 1000x5 - 25 sources (wide dense)                             , 321.06  
dalien-signals         , 5x500 - 3 sources (deep)                                     , 116.11  
Preact Signals         , avoidablePropagation                                         , 185.03  
Preact Signals         , broadPropagation                                             , 148.50  
Preact Signals         , deepPropagation                                              , 61.09   
Preact Signals         , diamond                                                      , 168.20  
Preact Signals         , mux                                                          , 160.06  
Preact Signals         , repeatedObservers                                            , 32.79   
Preact Signals         , triangle                                                     , 51.70   
Preact Signals         , unstable                                                     , 31.34   
Preact Signals         , molBench                                                     , 282.97  
Preact Signals         , createDataSignals                                            , 37.99   
Preact Signals         , createComputations0to1                                       , 40.86   
Preact Signals         , createComputations1to1                                       , 40.98   
Preact Signals         , createComputations2to1                                       , 36.50   
Preact Signals         , createComputations4to1                                       , 42.09   
Preact Signals         , createComputations1000to1                                    , 37.60   
Preact Signals         , createComputations1to2                                       , 39.55   
Preact Signals         , createComputations1to4                                       , 39.38   
Preact Signals         , createComputations1to8                                       , 39.11   
Preact Signals         , createComputations1to1000                                    , 37.83   
Preact Signals         , updateComputations1to1                                       , 37.74   
Preact Signals         , updateComputations2to1                                       , 37.26   
Preact Signals         , updateComputations4to1                                       , 37.00   
Preact Signals         , updateComputations1000to1                                    , 37.83   
Preact Signals         , updateComputations1to2                                       , 39.66   
Preact Signals         , updateComputations1to4                                       , 38.24   
Preact Signals         , updateComputations1to1000                                    , 36.26   
Preact Signals         , 10x5 - 2 sources - read 20% (simple component)               , 169.78  
Preact Signals         , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 139.66  
Preact Signals         , 1000x12 - 4 sources - dynamic (large web app)                , 1539.81 
Preact Signals         , 1000x5 - 25 sources (wide dense)                             , 1148.29 
Preact Signals         , 5x500 - 3 sources (deep)                                     , 110.07  
Svelte v5              , avoidablePropagation                                         , 285.46  
Svelte v5              , broadPropagation                                             , 242.83  
Svelte v5              , deepPropagation                                              , 100.14  
Svelte v5              , diamond                                                      , 228.94  
Svelte v5              , mux                                                          , 201.24  
Svelte v5              , repeatedObservers                                            , 41.86   
Svelte v5              , triangle                                                     , 66.44   
Svelte v5              , unstable                                                     , 50.67   
Svelte v5              , molBench                                                     , 280.48  
Svelte v5              , createDataSignals                                            , 37.52   
Svelte v5              , createComputations0to1                                       , 36.47   
Svelte v5              , createComputations1to1                                       , 39.24   
Svelte v5              , createComputations2to1                                       , 36.88   
Svelte v5              , createComputations4to1                                       , 37.15   
Svelte v5              , createComputations1000to1                                    , 35.79   
Svelte v5              , createComputations1to2                                       , 37.45   
Svelte v5              , createComputations1to4                                       , 37.48   
Svelte v5              , createComputations1to8                                       , 37.22   
Svelte v5              , createComputations1to1000                                    , 38.13   
Svelte v5              , updateComputations1to1                                       , 40.45   
Svelte v5              , updateComputations2to1                                       , 37.69   
Svelte v5              , updateComputations4to1                                       , 36.75   
Svelte v5              , updateComputations1000to1                                    , 36.82   
Svelte v5              , updateComputations1to2                                       , 39.01   
Svelte v5              , updateComputations1to4                                       , 37.75   
Svelte v5              , updateComputations1to1000                                    , 37.70   
