framework                        , test                                                         , time    
Alien Signals                    , createSignals                                                , 5.08    
Alien Signals                    , createComputations                                           , 82.10   
Alien Signals                    , updateSignals                                                , 525.62  
Alien Signals                    , avoidablePropagation                                         , 100.89  
Alien Signals                    , broadPropagation                                             , 194.21  
Alien Signals                    , deepPropagation                                              , 61.38   
Alien Signals                    , diamond                                                      , 129.29  
Alien Signals                    , mux                                                          , 109.27  
Alien Signals                    , repeatedObservers                                            , 33.23   
Alien Signals                    , triangle                                                     , 44.69   
Alien Signals                    , unstable                                                     , 46.28   
Alien Signals                    , molBench                                                     , 19.74   
Alien Signals                    , cellx1000                                                    , 8.69    
Alien Signals                    , cellx2500                                                    , 25.25   
Alien Signals                    , 2-10x5 - lazy80%                                             , 342.85  
Alien Signals                    , 6-10x10 - dyn25% - lazy80%                                   , 237.00  
Alien Signals                    , 4-1000x12 - dyn5%                                            , 580.76  
Alien Signals                    , 25-1000x5                                                    , 763.60  
Alien Signals                    , 3-5x500                                                      , 152.33  
Alien Signals                    , 6-100x15 - dyn50%                                            , 367.23  
Dalien Signals                   , createSignals                                                , 9.98    
Dalien Signals                   , createComputations                                           , 82.72   
Dalien Signals                   , updateSignals                                                , 411.91  
Dalien Signals                   , avoidablePropagation                                         , 107.17  
Dalien Signals                   , broadPropagation                                             , 163.23  
Dalien Signals                   , deepPropagation                                              , 61.12   
Dalien Signals                   , diamond                                                      , 139.56  
Dalien Signals                   , mux                                                          , 104.03  
Dalien Signals                   , repeatedObservers                                            , 23.20   
Dalien Signals                   , triangle                                                     , 47.98   
Dalien Signals                   , unstable                                                     , 56.25   
Dalien Signals                   , molBench                                                     , 21.52   
Dalien Signals                   , cellx1000                                                    , 12.99   
Dalien Signals                   , cellx2500                                                    , 33.09   
Dalien Signals                   , 2-10x5 - lazy80%                                             , 363.37  
Dalien Signals                   , 6-10x10 - dyn25% - lazy80%                                   , 226.80  
Dalien Signals                   , 4-1000x12 - dyn5%                                            , 531.24  
Dalien Signals                   , 25-1000x5                                                    , 549.99  
Dalien Signals                   , 3-5x500                                                      , 145.16  
Dalien Signals                   , 6-100x15 - dyn50%                                            , 333.88  
Dalien Malloc Free               , createSignals                                                , 8.43    
Dalien Malloc Free               , createComputations                                           , 75.01   
Dalien Malloc Free               , updateSignals                                                , 478.92  
Dalien Malloc Free               , avoidablePropagation                                         , 116.77  
Dalien Malloc Free               , broadPropagation                                             , 165.57  
Dalien Malloc Free               , deepPropagation                                              , 59.90   
Dalien Malloc Free               , diamond                                                      , 137.99  
Dalien Malloc Free               , mux                                                          , 111.51  
Dalien Malloc Free               , repeatedObservers                                            , 23.55   
Dalien Malloc Free               , triangle                                                     , 43.95   
Dalien Malloc Free               , unstable                                                     , 38.30   
Dalien Malloc Free               , molBench                                                     , 24.18   
Dalien Malloc Free               , cellx1000                                                    , 9.75    
Dalien Malloc Free               , cellx2500                                                    , 18.24   
Dalien Malloc Free               , 2-10x5 - lazy80%                                             , 345.39  
Dalien Malloc Free               , 6-10x10 - dyn25% - lazy80%                                   , 203.16  
Dalien Malloc Free               , 4-1000x12 - dyn5%                                            , 450.64  
Dalien Malloc Free               , 25-1000x5                                                    , 512.35  
Dalien Malloc Free               , 3-5x500                                                      , 139.64  
Dalien Malloc Free               , 6-100x15 - dyn50%                                            , 303.96  
Angular Signals                  , createSignals                                                , 28.28   
Angular Signals                  , createComputations                                           , 524.76  
Angular Signals                  , updateSignals                                                , 1049.56 
Angular Signals                  , avoidablePropagation                                         , 167.39  
Angular Signals                  , broadPropagation                                             , 306.17  
Angular Signals                  , deepPropagation                                              , 96.51   
Angular Signals                  , diamond                                                      , 187.32  
Angular Signals                  , mux                                                          , 249.34  
Angular Signals                  , repeatedObservers                                            , 30.62   
Angular Signals                  , triangle                                                     , 62.88   
Angular Signals                  , unstable                                                     , 65.84   
Angular Signals                  , molBench                                                     , 20.45   
Angular Signals                  , cellx1000                                                    , 16.84   
Angular Signals                  , cellx2500                                                    , 64.37   
Angular Signals                  , 2-10x5 - lazy80%                                             , 526.71  
Angular Signals                  , 6-10x10 - dyn25% - lazy80%                                   , 339.00  
Angular Signals                  , 4-1000x12 - dyn5%                                            , 706.76  
Angular Signals                  , 25-1000x5                                                    , 901.21  
Angular Signals                  , 3-5x500                                                      , 230.24  
Angular Signals                  , 6-100x15 - dyn50%                                            , 459.29  
Compostate                       , createSignals                                                , 11.70   
Compostate                       , createComputations                                           , 305.14  
Compostate                       , updateSignals                                                , 1700.64 
Compostate                       , avoidablePropagation                                         , 239.03  
Compostate                       , broadPropagation                                             , 1054.56 
Compostate                       , deepPropagation                                              , 366.52  
Compostate                       , diamond                                                      , 670.46  
Compostate                       , mux                                                          , 240.01  
Compostate                       , repeatedObservers                                            , 96.58   
Compostate                       , triangle                                                     , 320.90  
Compostate                       , unstable                                                     , 170.62  
Compostate                       , molBench                                                     , 32.71   
Compostate                       , cellx1000                                                    , 87.39   
Compostate                       , cellx2500                                                    , 232.69  
Compostate                       , 2-10x5 - lazy80%                                             , 2884.43 
Compostate                       , 6-10x10 - dyn25% - lazy80%                                   , 2933.38 
Compostate                       , 4-1000x12 - dyn5%                                            , 3909.30 
Compostate                       , 25-1000x5                                                    , 9400.04 
Compostate                       , 3-5x500                                                      , 2223.03 
Compostate                       , 6-100x15 - dyn50%                                            , 3323.61 
