framework                        , test                                                         , time    
Alien Signals                    , createSignals                                                , 6.12    
Alien Signals                    , createComputations                                           , 156.80  
Alien Signals                    , updateSignals                                                , 520.35  
Alien Signals                    , avoidablePropagation                                         , 168.56  
Alien Signals                    , broadPropagation                                             , 168.47  
Alien Signals                    , deepPropagation                                              , 60.87   
Alien Signals                    , diamond                                                      , 144.75  
Alien Signals                    , mux                                                          , 151.33  
Alien Signals                    , repeatedObservers                                            , 32.50   
Alien Signals                    , triangle                                                     , 42.05   
Alien Signals                    , unstable                                                     , 38.01   
Alien Signals                    , molBench                                                     , 31.94   
Alien Signals                    , cellx1000                                                    , 10.89   
Alien Signals                    , cellx2500                                                    , 30.05   
Alien Signals                    , 2-10x5 - lazy80%                                             , 279.93  
Alien Signals                    , 6-10x10 - dyn25% - lazy80%                                   , 180.29  
Alien Signals                    , 4-1000x12 - dyn5%                                            , 409.90  
Alien Signals                    , 25-1000x5                                                    , 643.23  
Alien Signals                    , 3-5x500                                                      , 139.19  
Alien Signals                    , 6-100x15 - dyn50%                                            , 231.91  
Dalien Signals                   , createSignals                                                , 17.34   
Dalien Signals                   , createComputations                                           , 87.29   
Dalien Signals                   , updateSignals                                                , 471.93  
Dalien Signals                   , avoidablePropagation                                         , 182.45  
Dalien Signals                   , broadPropagation                                             , 169.38  
Dalien Signals                   , deepPropagation                                              , 69.25   
Dalien Signals                   , diamond                                                      , 170.80  
Dalien Signals                   , mux                                                          , 151.72  
Dalien Signals                   , repeatedObservers                                            , 32.55   
Dalien Signals                   , triangle                                                     , 49.78   
Dalien Signals                   , unstable                                                     , 42.70   
Dalien Signals                   , molBench                                                     , 31.99   
Dalien Signals                   , cellx1000                                                    , 9.92    
Dalien Signals                   , cellx2500                                                    , 19.13   
Dalien Signals                   , 2-10x5 - lazy80%                                             , 330.45  
Dalien Signals                   , 6-10x10 - dyn25% - lazy80%                                   , 203.52  
Dalien Signals                   , 4-1000x12 - dyn5%                                            , 461.22  
Dalien Signals                   , 25-1000x5                                                    , 577.95  
Dalien Signals                   , 3-5x500                                                      , 140.87  
Dalien Signals                   , 6-100x15 - dyn50%                                            , 250.48  
Dalien Malloc Free               , createSignals                                                , 7.01    
Dalien Malloc Free               , createComputations                                           , 80.53   
Dalien Malloc Free               , updateSignals                                                , 507.12  
Dalien Malloc Free               , avoidablePropagation                                         , 183.70  
Dalien Malloc Free               , broadPropagation                                             , 157.06  
Dalien Malloc Free               , deepPropagation                                              , 62.35   
Dalien Malloc Free               , diamond                                                      , 168.29  
Dalien Malloc Free               , mux                                                          , 144.06  
